requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness
11381,604745H,2018-07-04 08:00:00,50349,2.0,0.8779775289313045,3,51199,16,0.1382001665910387,0.2803176974865167,1.0
11386,604749H,2018-07-04 08:00:00,50338,3.0,0.874807394560555,3,51198,15,0.12445212229660045,0.3414590549900355,1.0
11389,604897H,2018-07-04 08:00:00,50909,1.0,0.8912035852855009,3,51200,15,0.125081204952351,0.3025527335814661,1.0
11390,604802H,2018-07-04 15:00:00,50269,3.0,-1.0,0,50269,15,0.0,0.0,0.0
11399,604733H,2018-07-04 08:00:00,50267,1.0,0.87552723914716,3,51198,15,0.12391058372301686,0.5310663040341561,1.0
11418,604749H,2018-07-04 08:00:00,51200,2.0,0.8867213713632782,3,50268,14,0.12415908541176132,0.27922861947527733,1.0
11404,603912,2018-07-04 08:00:00,50240,2.0,0.7764557445650196,3,50349,14,0.07207138333110652,0.19137704771760508,0.8133524527998216
11405,604800H,2018-07-04 08:00:00,50230,2.0,0.7099397512582266,3,50911,14,0.09964066684325987,0.15552106743144872,0.6609645365836572
11406,604771H,2018-07-04 08:00:00,51199,2.0,0.8837051702494322,3,50240,14,0.12402879582448172,0.54843518710826,1.0
11379,607289,2018-07-04 09:00:00,50269,3.0,0.6235502390709259,3,50269,16,0.08751582302749836,0.21580382442571225,0.9171662538092771
11402,600963,2018-07-04 09:00:00,50268,3.0,0.6273052136565138,3,50841,15,0.04442165526902472,0.18779469368686771,0.7981274481691878
11371,518475,2018-07-04 21:00:00,50911,2.0,-1.0,0,50911,17,0.0,0.0,0.0
11324,519392,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,22,0.0,0.0,0.0
11360,519392,2018-07-04 09:00:00,50267,2.0,0.5807936062451847,3,50911,17,0.00624732393534333,0.14804722751934343,0.6292007169572096
11359,607613,2018-07-04 09:00:00,50840,2.0,0.7784300648238119,3,50692,18,0.03623276805007635,0.3039157645710207,1.0
11348,603522H,2018-07-04 09:00:00,50261,3.0,0.6916745920527781,3,50911,19,0.020823147988723284,0.15977847851605506,0.679058533693234
11340,604773H,2018-07-04 09:00:00,50841,2.0,0.8723472357027522,3,50841,20,0.04635351448062523,0.49696122993671205,1.0
11336,605642,2018-07-04 09:00:00,51198,3.0,0.7015861461174032,3,50911,21,0.01978456043553481,0.1607851486299952,0.6833368816774796
11335,603906,2018-07-04 09:00:00,50909,1.0,0.8715410141632263,3,50841,21,0.060451938345795986,0.3482284600042878,1.0
11333,604900H,2018-07-04 21:00:00,50266,1.0,-1.0,0,50266,21,0.0,0.0,0.0
11331,603522H,2018-07-04 09:00:00,51087,1.0,0.681429034758587,3,50911,21,0.021179793349364574,0.15489895963608433,0.6583205784533585
11329,604903H,2018-07-04 09:00:00,50841,1.0,0.7652511847042439,3,50266,21,0.056458119387314126,0.5989423063476375,1.0
11420,607283,2018-07-04 09:00:00,50349,2.0,0.6766911062443117,3,50909,13,0.04789866186617807,0.2958497415971383,1.0
11321,604735H,2018-07-04 09:00:00,50841,1.0,0.6425600342055893,3,50268,23,0.04590328206036536,0.4436416200913547,1.0
11319,607263,2018-07-04 09:00:00,50268,1.0,0.6071517078439143,3,50349,23,0.03168451889267539,0.20831942839220846,0.8853575706668859
11365,604760H,2018-07-04 10:00:00,50263,1.0,0.4845214624727167,3,50240,17,0.01810504632425385,0.14489776116107547,0.6158154849345707
11424,607855,2018-07-04 10:00:00,51200,2.0,0.521357892709889,3,50911,13,0.03524310076422838,0.14676518784358367,0.6237520483352306
11421,604775H,2018-07-04 10:00:00,50230,1.0,0.6852845715018095,3,50263,13,0.045688011501685055,0.674483131615299,1.0
11429,604832H,2018-07-04 10:00:00,50692,1.0,0.7344818299676226,3,50267,13,0.035961012921804814,0.4691311370959251,1.0
11509,603522H,2018-07-04 10:00:00,51199,2.0,0.6570000465257554,3,50911,0,0.04084892974311475,0.16846229072693114,0.7159647355894574
11504,607289,2018-07-04 10:00:00,50841,3.0,0.5591540104505739,3,50269,2,0.03926601130226853,0.14349538785779267,0.6098553983956189
11426,520263,2018-07-04 10:00:00,50349,2.0,0.6313025219093551,3,50909,13,0.05418745685633419,0.23114061265899813,0.982347603800742
11499,600963,2018-07-04 10:00:00,50268,1.0,0.47365624660355077,3,51087,7,0.03688336251569053,0.15551507501451603,0.6609390688116931
11498,604899H,2018-07-04 10:00:00,50841,2.0,0.6117936579330087,3,50338,7,0.07724248492694774,0.5606810534814622,1.0
11497,603902,2018-07-04 09:00:00,50841,1.0,0.5184537021884035,3,50267,7,0.08125448753272486,0.35255328822927245,1.0
11496,607855,2018-07-04 10:00:00,50261,2.0,0.44321923848300704,3,50911,7,0.022874450435919125,0.16883033707234765,0.7175289325574775
11480,604804H,2018-07-04 09:00:00,50261,2.0,0.5129619427314721,3,50230,9,0.026211730069482117,0.8190623943730337,1.0
