datetime,date,userID,locationID,buildingID,chargingLen,originLocationID,originChargingHour,incentive,score
2018-07-01 00:00:00,0701,606941,51087,4,2.0,51087,9,0,-1.0
2018-07-01 09:00:00,0701,606620,50911,13,1.0,50911,9,0,-1.0
2018-07-01 04:00:00,0701,605432,50911,13,2.0,50911,4,0,-1.0
2018-07-01 04:00:00,0701,607289,50269,12,3.0,50269,4,0,-1.0
2018-07-01 13:00:00,0701,603912,50268,19,2.0,51087,19,0,0.0868943059813455
2018-07-01 19:00:00,0701,604380H,50911,13,2.0,50911,19,0,-1.0
2018-07-01 21:00:00,0701,603912,50911,13,3.0,50911,17,0,-1.0
2018-07-01 14:00:00,0701,606620,50675,18,1.0,50911,17,0,0.5114536678930688
2018-07-01 17:00:00,0701,520263,50909,8,1.0,50909,17,0,-1.0
2018-07-01 19:00:00,0701,517866,50266,10,2.0,51087,14,3,0.3370552012579881
2018-07-01 10:00:00,0701,607855,50338,16,1.0,50911,13,0,0.4418026513625763
2018-07-01 15:00:00,0701,604832H,50268,19,2.0,50267,12,0,0.3572039809051027
2018-07-01 18:00:00,0701,604903H,50266,10,1.0,50266,12,0,-1.0
2018-07-01 10:00:00,0701,607696,50261,9,3.0,50263,11,0,0.4584510829460846
2018-07-01 00:00:00,0701,604738H,50268,19,3.0,50268,0,0,-1.0
2018-07-01 15:00:00,0701,606260,50338,16,3.0,50911,10,0,0.3430022120030827
2018-07-01 02:00:00,0701,519392,51087,4,2.0,51087,21,0,-1.0
2018-07-01 02:00:00,0701,519392,51087,4,2.0,51087,21,0,-1.0
2018-07-01 15:00:00,0701,603906,51087,4,1.0,50841,21,3,0.391037087840969
2018-07-01 12:00:00,0701,604903H,50268,19,1.0,50266,21,0,0.3264537794443587
2018-07-01 21:00:00,0701,605931,50911,13,2.0,50911,21,0,-1.0
2018-07-01 22:00:00,0701,604380H,50911,13,2.0,50911,22,0,-1.0
2018-07-01 00:00:00,0701,604732H,50268,19,3.0,50268,23,0,-1.0
2018-07-01 00:00:00,0701,604738H,50268,19,3.0,50268,23,0,-1.0
2018-07-01 10:00:00,0701,607795,50841,2,1.0,50909,20,0,0.4509155222497586
2018-07-01 03:00:00,0701,519392,51087,4,2.0,51087,19,0,-1.0
2018-07-02 16:00:00,0702,517846,50338,16,1.0,50349,0,10,0.4272331073868263
2018-07-02 00:00:00,0702,607942,50349,7,3.0,50349,22,0,-1.0
2018-07-02 12:00:00,0702,604771H,50675,18,2.0,50240,12,10,0.8398333468367378
2018-07-02 12:00:00,0702,604773H,50840,6,1.0,50841,12,10,0.8151716360042488
2018-07-02 12:00:00,0702,604727H,50338,16,3.0,50261,12,10,0.7817201380581231
2018-07-02 12:00:00,0702,607856,50261,9,3.0,50909,1,10,0.742000591497291
2018-07-02 12:00:00,0702,604749H,51198,5,1.0,51198,12,10,0.7907520411440527
2018-07-02 12:00:00,0702,604904H,51199,1,1.0,51199,12,10,0.7779879688211219
2018-07-02 12:00:00,0702,604760H,50268,19,2.0,50240,11,8,0.6975196919006288
2018-07-02 12:00:00,0702,603906,50841,2,2.0,50841,11,10,0.8015590075754164
2018-07-02 18:00:00,0702,604726H,50266,10,1.0,51199,11,10,0.3946652301115671
2018-07-02 12:00:00,0702,604738H,50267,14,1.0,50268,11,10,0.7795481454919542
2018-07-02 18:00:00,0702,604796H,50267,14,2.0,50267,13,10,0.371531413390366
2018-07-02 11:00:00,0702,604758H,50263,11,1.0,50263,11,0,-1.0
2018-07-02 12:00:00,0702,600108,50269,12,1.0,50269,10,10,0.8183888015491962
2018-07-02 00:00:00,0702,604749H,50230,0,2.0,51199,10,0,0.0064088774536349
2018-07-02 12:00:00,0702,603904,50230,0,1.0,50841,9,10,0.7403305948324482
2018-07-02 12:00:00,0702,518622,50909,8,1.0,50675,8,10,0.7883223524059105
2018-07-02 08:00:00,0702,518475,50911,13,2.0,50911,8,0,-1.0
2018-07-02 10:00:00,0702,604771H,50267,14,1.0,50240,8,10,0.3126399382841965
2018-07-02 01:00:00,0702,604802H,50909,8,1.0,50269,7,0,0.0103678015215018
2018-07-02 08:00:00,0702,604895H,50261,9,1.0,50338,7,9,0.3428936289242086
2018-07-02 23:00:00,0702,519392,50911,13,1.0,50911,23,0,-1.0
