requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour
19017,606789,2018-07-01 12:00:00,50675,1.0,50909,7
13242,604738H,2018-07-01 03:00:00,50338,3.0,50268,0
13090,604738H,2018-07-01 03:00:00,50268,3.0,50268,23
18878,604738H,2018-07-01 03:00:00,50911,2.0,50268,16
18846,607289,2018-07-01 01:00:00,50841,3.0,50911,20
18855,518009,2018-07-01 03:00:00,50269,1.0,50692,19
18838,606666,2018-07-01 01:00:00,50263,3.0,50349,23
13230,607289,2018-07-01 01:00:00,50349,3.0,50269,4
18955,607289,2018-07-01 01:00:00,50909,2.0,50269,12
13103,605931,2018-07-01 01:00:00,50266,2.0,50911,21
18847,607289,2018-07-01 01:00:00,50675,1.0,50911,20
