requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,cp_value,threshold,user_accept
7255,517846,2018-07-02 12:00:00,50840,1.0,0.8094851746355134,8,50349,0,0.0,0.04742587317756678,0.8994279718172371,0.32379406985420534,True
7062,607942,2018-07-02 12:00:00,51200,3.0,0.7417022843710968,10,50349,22,0.2038378561719639,0.7572243832422894,0.6742748039737243,0.07807392467064177,True
7172,604771H,2018-07-02 16:00:00,50240,2.0,-1.0,0,50240,12,0.0,0.0,0.0,0.0,False
7181,604773H,2018-07-02 12:00:00,50841,1.0,0.8014356612497902,7,50841,12,1.0,0.9988304897349445,1.0017945765622376,0.07709742350677408,True
7182,604727H,2018-07-02 12:00:00,50261,3.0,0.827510349044386,10,50261,12,1.0,0.9994472213630764,0.7522821354948963,0.04741427638087867,True
7252,607856,2018-07-02 12:00:00,50675,3.0,0.7365863690349929,7,50909,1,0.10387022146291557,0.40012531362592174,0.920732961293741,0.13187076284258525,True
7185,604749H,2018-07-02 12:00:00,51199,1.0,0.789320611859313,10,51198,12,1.0,0.9994472213630764,0.7175641925993754,0.15132956647902288,True
7193,604904H,2018-07-02 12:00:00,50338,1.0,0.7578910093661962,10,51199,12,0.22109483503717364,0.7756862584120742,0.688991826696542,0.039931968025603726,True
7196,604760H,2018-07-02 12:00:00,50267,2.0,0.7310352836282343,9,50240,11,0.15792530213010073,0.6402048645667784,0.7310352836282343,0.1804151009413764,True
7198,603906,2018-07-02 12:00:00,51198,2.0,0.7710991580725781,10,50841,11,0.39430757362364477,0.8880284479001319,0.7009992346114345,0.11252655915458845,True
7199,604726H,2018-07-02 11:00:00,51199,1.0,-1.0,0,51199,11,0.0,0.0,0.0,0.0,False
7201,604738H,2018-07-02 11:00:00,50268,1.0,-1.0,0,50268,11,0.0,0.0,0.0,0.0,False
7166,604796H,2018-07-02 12:00:00,50268,2.0,0.7589493597089442,10,50267,13,0.39983061501421807,0.8903019488079732,0.6899539633717674,0.03743376017526474,True
7203,604758H,2018-07-02 12:00:00,50269,1.0,0.7992968941253688,9,50263,11,0.5403186279272203,0.9177095162461111,0.7992968941253688,0.09983135094972961,True
7213,600108,2018-07-02 12:00:00,50909,1.0,0.750481578451262,1,50269,10,0.7115918498528784,0.760081765428037,3.7524078922563096,0.09378766355770685,True
7214,604749H,2018-07-02 12:00:00,50230,2.0,0.7368969314388348,4,51199,10,0.3866612802216246,0.6314940637378167,1.4737938628776697,0.09503866716889665,True
7221,603904,2018-07-02 12:00:00,50841,1.0,0.5509361425914826,4,50841,9,0.18792562409542055,0.3861450316305759,1.1018722851829652,0.07070517839059304,True
7233,518622,2018-07-02 12:00:00,51200,1.0,0.5351453310956638,8,50675,8,0.7178717125689722,0.9494984079653932,0.5946059234396264,0.0877436580724234,True
7238,518475,2018-07-02 12:00:00,50268,2.0,0.46242282132148094,6,50911,8,0.16099391140114652,0.46235850011126706,0.6606040304592585,0.03613115354848189,True
7239,604771H,2018-07-02 12:00:00,50841,1.0,0.4425360283613151,2,50240,8,0.30612314354239917,0.421088387171825,1.4751200945377172,0.046720223283968895,True
7241,604802H,2018-07-02 07:00:00,50269,1.0,-1.0,0,50269,7,0.0,0.0,0.0,0.0,False
7243,604895H,2018-07-02 13:00:00,50240,1.0,0.356946503040424,8,50338,7,0.17413761489585675,0.6090731032902796,0.3966072256004711,0.0015431368741028325,True
7061,519392,2018-07-02 13:00:00,51087,1.0,0.39489076069328694,5,50911,23,0.46488506334106977,0.7520001982340361,0.658151267822145,0.08636125895926725,True
7245,607795,2018-07-02 13:00:00,50338,1.0,0.45166408085608956,10,50911,6,0.17315121783197032,0.7184009274044058,0.4106037098691723,0.03368390581440033,True
7208,604799H,2018-07-02 10:00:00,51198,2.0,-1.0,0,51198,10,0.0,0.0,0.0,0.0,False
7164,604900H,2018-07-02 13:00:00,50269,2.0,0.4958429839781007,7,50266,13,0.4932699478575511,0.8485248987609743,0.6198037299726259,0.12759738637722604,True
7206,604734H,2018-07-02 10:00:00,50268,3.0,-1.0,0,50268,10,0.0,0.0,0.0,0.0,False
7161,604727H,2018-07-02 13:00:00,50841,1.0,0.5085119414658599,6,50261,13,0.4385405649060389,0.7778036714508199,0.7264456306655142,0.13257981432501267,True
7163,604761H,2018-07-02 17:00:00,50349,2.0,-1.0,0,50349,13,0.0,0.0,0.0,0.0,False
7063,603906,2018-07-02 21:00:00,50841,1.0,-1.0,0,50841,21,0.0,0.0,0.0,0.0,False
7065,604832H,2018-07-02 21:00:00,50267,1.0,-1.0,0,50267,21,0.0,0.0,0.0,0.0,False
7071,604773H,2018-07-02 13:00:00,50909,1.0,0.5111467852267049,10,50841,21,0.4284299376602638,0.9012988373098069,0.46467889566064075,0.03669482283585954,True
7074,605235,2018-07-02 13:00:00,50840,2.0,0.5840334306371497,1,50911,19,0.0,0.008577485413711984,2.9201671531857487,0.5903069326350903,True
7075,604760H,2018-07-02 13:00:00,50266,1.0,0.562025942004854,9,50240,19,0.12026578885322686,0.5646570320827814,0.562025942004854,0.04210435179994779,True
7077,603522H,2018-07-02 19:00:00,50911,1.0,-1.0,0,50911,19,0.0,0.0,0.0,0.0,False
7086,606523,2018-07-02 13:00:00,50675,2.0,0.3949742466024832,1,50911,18,0.1723665230953144,0.21099349898902073,1.9748712330124158,0.055695333256179064,True
7087,518475,2018-07-02 13:00:00,50261,1.0,0.33111714154431976,8,50911,17,0.11194934240185081,0.48226186735360804,0.3679079350492442,0.0037459048984842696,True
