requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness
18866,606941,2018-07-01 12:00:00,50268,3.0,0.8430354250788877,3,51087,17,0.021075885626972192,0.22617777751091167,0.9612555544213746
18879,604897H,2018-07-01 12:00:00,50675,1.0,0.9111218815042685,3,51200,16,0.0,0.31051565771399414,1.0
18863,604760H,2018-07-01 12:00:00,50267,1.0,0.7124627112232631,3,50240,17,0.047835442936816006,0.15792530213010073,0.671182534052928
18873,V009198,2018-07-01 12:00:00,50261,2.0,0.7231529404277557,3,50911,17,0.04630004340712324,0.15719278963254504,0.6680693559383164
18876,604725H,2018-07-01 12:00:00,50269,2.0,0.8846444269343935,3,50261,16,0.11493197863115116,0.48606407459013734,1.0
18878,604738H,2018-07-01 12:00:00,50230,2.0,0.8819332743121153,3,50268,16,0.013812461271883947,0.46959391508058707,1.0
18881,604836H,2018-07-01 12:00:00,50841,2.0,0.8735274493722065,3,50269,16,0.04642553015103568,0.3257045785321473,1.0
18891,604749H,2018-07-01 12:00:00,50338,1.0,0.8771405948410926,3,51200,15,0.04793588752403311,0.3335198404166374,1.0
18884,604771H,2018-07-01 12:00:00,50909,2.0,0.8734930516446471,3,50240,16,0.015752504908240865,0.5648044418711663,1.0
18885,604739H,2018-07-01 12:00:00,51198,1.0,0.8706799977656505,3,51199,15,0.017977401740417707,0.32639100231558055,1.0
18889,605077H,2018-07-01 12:00:00,51200,2.0,0.778330930878729,3,51087,15,0.01620375882279344,0.19268783792835992,0.8189233111955296
18861,605454,2018-07-01 12:00:00,50841,2.0,0.6903336190155986,3,50692,18,0.059291660214299845,0.23887324724740303,1.0
18895,604976,2018-07-01 12:00:00,51199,1.0,0.6874349645066324,3,50911,15,0.046210368153268226,0.15162638022262162,0.6444121159461419
18897,604728H,2018-07-01 12:00:00,51200,1.0,0.5764603802678939,3,51198,15,0.01399580830786709,0.7643064111094418,1.0
18958,604771H,2018-07-01 12:00:00,50268,2.0,0.5771630974310242,3,50240,11,0.014061308237908847,0.8452625151947782,1.0
18882,518475,2018-07-01 12:00:00,50841,3.0,0.5468704475645262,3,50911,16,0.05119253334590127,0.28089970439804113,1.0
18858,506530,2018-07-01 12:00:00,50840,2.0,0.5,3,50909,18,0.0,0.0,0.0
18846,607289,2018-07-01 13:00:00,50675,3.0,0.3972946949891397,3,50911,20,0.0,0.1334196395801574,0.567033468215669
18852,606909,2018-07-01 13:00:00,51199,3.0,0.4431133842900605,3,50692,19,0.027196203262776997,0.16702836645860275,0.7098705574490617
18940,606102,2018-07-01 13:00:00,50338,3.0,0.467866722079904,3,50911,12,0.023649712166108967,0.1641747225387666,0.6977425707897581
18941,604733H,2018-07-01 13:00:00,50240,1.0,0.5986090159597917,3,51200,12,0.05044598967199125,0.466388003760882,1.0
18944,604895H,2018-07-01 13:00:00,51198,2.0,0.5271558025530279,3,50338,12,0.009922271777985218,0.1633221668817645,0.6941192092474991
18945,604804H,2018-07-01 13:00:00,50267,1.0,0.7046325535116025,3,50230,12,0.04421961295126067,0.3618127239436254,1.0
18948,604726H,2018-07-01 13:00:00,51087,2.0,0.7365741212199427,3,51199,12,0.03648951862872069,0.2451251132932561,1.0
18949,604903H,2018-07-01 13:00:00,50675,1.0,0.5411964187171162,3,50266,12,0.0,0.45075451478088185,1.0
18959,607626,2018-07-01 13:00:00,51200,1.0,0.44461559622443125,3,50911,11,0.008429806895587326,0.15912968270638705,0.676301151502145
18855,518009,2018-07-01 14:00:00,50267,1.0,0.43042585378036274,3,50692,19,0.02700627817372269,0.20238165830052415,0.8601220477772277
18955,607289,2018-07-01 14:00:00,50269,2.0,0.4965453827076434,3,50269,12,0.0579974851548712,0.21580382442571225,0.9171662538092771
18836,607688,2018-07-01 14:00:00,50230,3.0,0.4483751319145712,3,51087,23,0.007998279651185606,0.14407633184847526,0.6123244103560199
18838,606666,2018-07-01 14:00:00,50261,3.0,0.5225817204393117,3,50349,23,0.03891917494169078,0.1775754105438457,0.7546954948113442
18840,519392,2018-07-01 14:00:00,50909,2.0,0.6076976826595788,3,50911,21,0.014411726161425357,0.41723398335557993,1.0
18845,604773H,2018-07-01 14:00:00,51200,1.0,0.6563047873713768,3,50841,21,0.024372130002944237,0.3967566747144301,1.0
18847,607289,2018-07-01 14:00:00,50692,1.0,0.5062239309774632,3,50911,20,0.0,0.1364630013076307,0.5799677555574305
18849,604900H,2018-07-01 13:00:00,50261,2.0,0.48410281237784153,3,50266,20,0.051997097521489295,0.4670274083788744,1.0
18851,607224,2018-07-01 14:00:00,50840,2.0,0.42710144927536237,3,50911,19,0.0,0.0,0.0
18957,604728H,2018-07-01 15:00:00,50267,1.0,0.4714257729806786,3,51198,11,0.10128181069242159,0.36137089170320796,1.0
18951,604832H,2018-07-01 15:00:00,50841,1.0,0.492273150149039,3,50267,12,0.11451795860348289,0.6066888567879423,1.0
18935,606789,2018-07-01 15:00:00,50263,1.0,0.506933757852013,3,50909,12,0.011997329891357664,0.2343675122899235,0.9960619272321749
18996,605077H,2018-07-01 15:00:00,50268,2.0,0.5325874678366139,3,50911,9,0.01902098099416478,0.22009708083528481,0.9354125935499604
18965,602824,2018-07-01 15:00:00,51087,1.0,0.5214945242711618,3,50911,11,0.05109289649896931,0.2013415113596629,0.8557014232785674
18972,604752H,2018-07-01 15:00:00,51198,2.0,0.6252672120911458,3,51200,11,0.021911493890703845,0.5081887960646283,1.0
18977,604773H,2018-07-01 15:00:00,51200,2.0,0.6469327387458627,3,50841,10,0.040433296171616416,0.4356358648124039,1.0
