requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,trend,cp_value,threshold,user_accept
7255,517846,2018-07-02 12:00:00,50840,1.0,0.8151716360042488,10,50349,0,0.0,0.07585818002124355,1.0,0.7410651236402261,0.08580754063202618,True
7062,607942,2018-07-02 12:00:00,50675,3.0,0.6583831633548353,10,50349,22,0.4374671875960064,0.9045255809167356,0.5968475589643601,0.5985301485043957,0.141082106433179,True
7172,604771H,2018-07-02 12:00:00,50338,2.0,0.6130990359646562,10,50240,12,0.5346781142281637,0.933325753457076,0.5330423565915512,0.5573627599678692,0.09579672436947753,True
7181,604773H,2018-07-02 12:00:00,50841,1.0,-1.0,0,50841,12,0.0,0.0,0.0,0.0,0.0,False
7182,604727H,2018-07-02 12:00:00,50261,3.0,-1.0,0,50261,12,0.0,0.0,0.0,0.0,0.0,False
7252,607856,2018-07-02 12:00:00,50268,3.0,0.6076513625216826,8,50909,1,0.5251730578689014,0.8909787186051468,0.5368195235008166,0.6751681805796473,0.18860626464475078,True
7185,604749H,2018-07-02 12:00:00,51198,1.0,-1.0,0,51198,12,0.0,0.0,0.0,0.0,0.0,False
7193,604904H,2018-07-02 12:00:00,50267,1.0,0.5803791360446235,10,51199,12,0.5019379596991025,0.9246834718027777,0.4943030521050851,0.5276173964042031,0.034060853363427755,True
7196,604760H,2018-07-02 19:00:00,50240,2.0,-1.0,0,50240,11,0.0,0.0,0.0,0.0,0.0,False
7198,603906,2018-07-02 11:00:00,50841,2.0,-1.0,0,50841,11,0.0,0.0,0.0,0.0,0.0,False
7199,604726H,2018-07-02 12:00:00,51199,1.0,0.5793460863251043,10,51199,11,0.6568163415637501,0.9588747702589141,0.4844639153416518,0.5266782602955493,0.05383910863604338,True
7201,604738H,2018-07-02 19:00:00,50338,1.0,0.35721607111674303,6,50268,11,0.0,0.02931223075135632,1.0,0.5103086730239187,0.14896987821626498,True
7166,604796H,2018-07-02 13:00:00,50267,2.0,-1.0,0,50267,13,0.0,0.0,0.0,0.0,0.0,False
7203,604758H,2018-07-02 12:00:00,50909,1.0,0.5549151431479862,10,50263,11,0.42485330964849866,0.8999904826666554,0.46864630826831877,0.5044683119527147,0.038906218381082824,True
7213,600108,2018-07-02 12:00:00,51200,1.0,0.5675008093688154,10,50269,10,0.37855118192655307,0.8812475742565671,0.48906411814687745,0.515909826698923,0.03907565216208237,True
7214,604749H,2018-07-02 19:00:00,50266,2.0,0.35836047766370366,10,51199,10,0.0,0.07585818002124355,1.0,0.32578225242154873,0.08077048015795062,True
7221,603904,2018-07-02 14:00:00,50230,1.0,0.2228975016370909,10,50841,9,0.44032885370096914,0.9055243868890062,0.4900751585398263,0.20263409239735536,0.023461835229821093,True
7233,518622,2018-07-02 19:00:00,50261,1.0,0.2911774918641408,10,50675,8,0.3292375959306215,0.8567266649828759,0.5890398265031768,0.26470681078558256,0.03971587650516907,True
7238,518475,2018-07-02 07:00:00,50230,2.0,0.17422132510899466,10,50911,8,0.3535479226749563,0.8694971480534316,0.5876215678429342,0.15838302282635877,0.04030743590839506,True
7239,604771H,2018-07-02 21:00:00,50349,1.0,0.027162012506817122,10,50240,8,0.7969835864023939,0.979518663879927,0.25713252946851317,0.024692738642561017,0.0032760611644470764,True
7241,604802H,2018-07-02 04:00:00,50349,1.0,0.03737000747111667,10,50269,7,0.577452081687283,0.9433380935466178,0.45484329326701955,0.03397273406465152,0.004035648462727553,True
7243,604895H,2018-07-02 13:00:00,51087,1.0,0.23622826125829754,10,50338,7,0.5167717894973957,0.9287147585462553,0.45358117499228223,0.21475296478027048,0.09339057082649171,True
7061,519392,2018-07-02 08:00:00,50240,1.0,0.2693565530935937,10,50911,23,0.3318640819482039,0.8581774016037557,0.5513458486426583,0.24486959372144879,0.010041743473397022,True
7245,607795,2018-07-02 12:00:00,50269,1.0,0.5207470459886547,10,50911,6,0.7131149997516713,0.9680329752752522,0.4089255636670053,0.4734064054442315,0.0918634671825712,True
7208,604799H,2018-07-02 16:00:00,50692,2.0,0.12960620713104068,10,51198,10,0.6742428610460772,0.9618538706177061,0.37863761105188376,0.11782382466458242,0.05195248574760809,True
7164,604900H,2018-07-02 19:00:00,50267,2.0,0.28221443394403095,9,50266,13,0.35083187265083154,0.8368009181938074,0.5824931399694395,0.28221443394403095,0.073654595638674,True
7206,604734H,2018-07-02 12:00:00,50230,3.0,0.5123982323105973,4,50268,10,0.4407370698827717,0.6817506464248899,0.4700601287820242,1.0247964646211947,0.1216641348417402,True
7161,604727H,2018-07-02 13:00:00,50840,1.0,0.4046614266116116,9,50261,13,0.0,0.060086650174007626,1.0,0.4046614266116116,0.04314586657621953,True
7163,604761H,2018-07-02 19:00:00,50675,2.0,0.37218390111785604,4,50349,13,0.0,0.01798620996209156,1.0,0.7443678022357121,0.14364668984191603,True
7063,603906,2018-07-02 21:00:00,50841,1.0,-1.0,0,50841,21,0.0,0.0,0.0,0.0,0.0,False
7065,604832H,2018-07-02 12:00:00,51200,1.0,0.3874502799574718,9,50267,21,0.4302359902299718,0.8775156599165712,0.48944982567152984,0.3874502799574718,0.04209352444474178,True
7071,604773H,2018-07-02 08:00:00,50841,1.0,0.3812606760821654,10,50841,21,0.0,0.07585818002124355,1.0,0.34660061462015035,0.031310742073849374,True
7074,605235,2018-07-02 08:00:00,50261,2.0,0.38541183840800536,9,50911,19,0.0,0.060086650174007626,1.0,0.38541183840800536,0.04475043224984457,True
