requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness,trend,cost,cp_value
18866,606941,2018-07-01 18:00:00,50268,3.0,0.6541554416608907,10,51087,17,0.018819430942834857,0.25116367196780565,0.8033846553265861,0.7229780418821585,1.1,0.5946867651462642
18879,604897H,2018-07-01 12:00:00,51200,1.0,0.8716052447762025,10,51200,16,0.021790131119405063,1.0,0.9994472213630764,0.7437632681893286,1.1,0.7923684043420022
18863,604760H,2018-07-01 12:00:00,50267,1.0,0.7246525211527144,10,50240,17,0.055742501627131874,0.15792530213010073,0.6955621539118304,0.7537428883935983,1.1,0.6587750192297404
18873,V009198,2018-07-01 12:00:00,50268,2.0,0.7085269546026046,9,50911,17,0.03681572037386792,0.19182572253017607,0.6924949720880675,0.7245589371171417,1.0,0.7085269546026046
18876,604725H,2018-07-01 12:00:00,50675,2.0,0.8677764307579088,10,50261,16,0.0,0.46025731104077783,0.9121916234824538,0.8233612380333639,1.1,0.7888876643253716
18878,604738H,2018-07-01 12:00:00,50261,2.0,0.8544777137419192,10,50268,16,0.05807902950043812,0.5142896312638917,0.9280540007634244,0.780901426720414,1.1,0.7767979215835629
18881,604836H,2018-07-01 12:00:00,50269,2.0,0.883878784719849,10,50269,16,0.12291420531404576,0.942958620186343,0.9950590547828799,0.7726985146568183,1.1,0.8035261679271354
18891,604749H,2018-07-01 18:00:00,50675,1.0,0.49701518405853323,10,51200,15,0.0,0.35792060089489935,0.8716468837725585,0.7983241346641131,1.1,0.45183198550775744
18884,604771H,2018-07-01 12:00:00,50230,2.0,0.8661181073388349,10,50240,16,0.014345338253720427,0.7038888584179294,0.9666211963270408,0.7656150183506288,1.1,0.7873800975807589
18885,604739H,2018-07-01 12:00:00,50909,1.0,0.7755887272669721,10,51199,15,0.0155727836038384,0.2549187463872293,0.8065039310616944,0.7446735234722499,1.1,0.7050806611517928
18889,605077H,2018-07-01 14:00:00,50338,2.0,0.2970539787026021,10,51087,15,0.04189050250585524,0.13574457350789879,0.6567640311122547,0.7690950666602352,1.1,0.27004907154782004
18861,605454,2018-07-01 21:00:00,50909,2.0,0.058372777580921895,10,50692,18,0.02109108210346635,0.13305313947792502,0.6515299114259565,0.7494167505161689,1.1,0.05306616143720172
18895,604976,2018-07-01 12:00:00,51199,1.0,0.7078639657576691,10,50911,15,0.031209660278715065,0.15162638022262162,0.6852701184482152,0.7304578130671231,1.1,0.6435126961433355
18897,604728H,2018-07-01 16:00:00,51200,1.0,0.3299810345628389,10,51198,15,0.025338647859365893,0.7643064111094418,0.9753119045757239,0.7405894751510385,1.1,0.2999827586934899
18958,604771H,2018-07-01 12:00:00,51198,2.0,0.8490206363482127,10,50240,11,0.012124565903220082,0.6320856080022245,0.9543999741376121,0.7436412985588132,1.1,0.7718369421347387
18882,518475,2018-07-01 12:00:00,50841,3.0,0.7865367168189449,10,50911,16,0.038328263821693624,0.28089970439804113,0.8263528996258209,0.7467205340120688,1.1,0.7150333789263135
18858,506530,2018-07-01 13:00:00,51087,2.0,0.42839436540640236,10,50909,18,0.03575343972363896,0.2220482306872901,0.7766465886062488,0.7162619068551942,1.1,0.38944942309672936
18846,607289,2018-07-01 12:00:00,50840,3.0,0.5379290900106217,10,50911,20,0.0,0.0,0.07585818002124355,1.0,1.1,0.48902644546420154
18852,606909,2018-07-01 12:00:00,50338,3.0,0.4844494982253727,3,50692,19,0.14430766094513992,0.11530350119523543,0.21624628691200334,0.7526527095387421,0.4,1.2111237455634316
18940,606102,2018-07-01 12:00:00,50841,3.0,0.4738816542136918,3,50911,12,0.12821791860797058,0.2494968542759929,0.4130678074905513,0.7464861843842925,0.4,1.1847041355342296
18941,604733H,2018-07-01 13:00:00,50267,1.0,0.4997869841051476,3,51200,12,0.099862899438573,0.5128713405696187,0.6902945571858076,0.768471766660606,0.4,1.249467460262869
18944,604895H,2018-07-01 14:00:00,51198,2.0,0.364877613154797,10,50338,12,0.016274625384355063,0.12579369761978323,0.6367594928169079,0.7456054073066944,1.1,0.3317069210498154
18945,604804H,2018-07-01 19:00:00,50675,1.0,0.17720017082702832,10,50230,12,0.0,0.0,0.07585818002124355,1.0,1.1,0.16109106438820756
18948,604726H,2018-07-01 16:00:00,50261,2.0,0.2081413926483019,3,51199,12,0.13248457407821282,0.25164524487559,0.41584426251446893,0.7789413939861728,0.4,0.5203534816207547
18949,604903H,2018-07-01 13:00:00,50240,1.0,0.6539962917679064,10,50266,12,0.05679663038870543,0.7493178078604509,0.9732726593627298,0.7740557365354038,1.1,0.5945420834253694
18959,607626,2018-07-01 13:00:00,51199,1.0,0.41420033580156357,3,50911,11,0.11827347586092574,0.16087309917657652,0.28869180607777073,0.7316121977730061,0.4,1.035500839503909
18855,518009,2018-07-01 13:00:00,50909,1.0,0.48143491043556064,0,50692,19,0.8194280354269717,0.41111009326832687,0.41111009326832687,0.7302857430226677,0.1,4.814349104355606
18955,607289,2018-07-01 13:00:00,50675,2.0,0.41623360615262706,10,50269,12,0.0,0.1334196395801574,0.6522500921841162,0.7582425266719617,1.1,0.3783941874114791
18836,607688,2018-07-01 14:00:00,50230,3.0,0.4338363056282602,10,51087,23,0.02055538437638178,0.14407633184847526,0.6722021578530982,0.7645284646820494,1.1,0.3943966414802365
18838,606666,2018-07-01 14:00:00,50692,3.0,0.4468181445699329,10,50349,23,0.0,0.15127869507929925,0.6846863362498482,0.7212957702991103,1.1,0.4061983132453935
