requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,cp_value,threshold
18866,606941,2018-07-01 12:00:00,50840,3.0,0.8151716360042488,10,51087,17,0.0,0.07585818002124355,0.7410651236402261,0.0
18879,604897H,2018-07-01 12:00:00,50675,1.0,0.8269617363515158,10,51200,16,0.31051565771399414,0.8458336297234305,0.7517833966831962,0.0
18863,604760H,2018-07-01 12:00:00,50909,1.0,0.7348049026421257,10,50240,17,0.1595780557561977,0.6981764100867345,0.668004456947387,0.018370122566053144
18873,V009198,2018-07-01 12:00:00,50230,2.0,0.743029572241104,10,50911,17,0.14254305714661109,0.6694443788857306,0.6754814293100945,0.0185757393060276
18876,604725H,2018-07-01 12:00:00,50338,2.0,0.7823512760027145,6,50261,16,0.633513683138718,0.8856765812035744,1.117644680003878,0.040065967608307086
18878,604738H,2018-07-01 12:00:00,50261,2.0,0.7899106373574454,6,50268,16,0.5142896312638917,0.825947479905571,1.1284437676534935,0.045279108398041945
18881,604836H,2018-07-01 12:00:00,50269,2.0,0.8126027018308252,3,50269,16,0.942958620186343,0.9722194505268528,2.031506754577063,0.0963369022256882
18891,604749H,2018-07-01 12:00:00,51199,1.0,0.7889366429553708,4,51200,15,1.0,0.9975273768433653,1.5778732859107416,0.05066878799124745
18884,604771H,2018-07-01 12:00:00,50268,2.0,0.7805873890949482,10,50240,16,0.8452625151947782,0.9851956211057384,0.7096248991772256,0.016168972434437198
18885,604739H,2018-07-01 15:00:00,51199,1.0,-1.0,0,51199,15,0.0,0.0,0.0,0.0
18889,605077H,2018-07-01 12:00:00,51200,2.0,0.7059270374576521,7,51087,15,0.19268783792835992,0.5786809850405474,0.8824087968220651,0.010897178022734476
18861,605454,2018-07-01 12:00:00,50841,2.0,0.7016790299333964,5,50692,18,0.23887324724740303,0.5227675347276807,1.169465049888994,0.03390987228770549
18895,604976,2018-07-01 12:00:00,50267,1.0,0.6790137806650764,5,50911,15,0.1495575989274328,0.3803471319361431,1.1316896344417942,0.03249976456218117
18897,604728H,2018-07-01 12:00:00,51198,1.0,0.7721069735338956,5,51198,15,0.6865875383657788,0.8843427501397906,1.286844955889826,0.011908118899309702
18958,604771H,2018-07-01 12:00:00,50841,2.0,0.5673343613354647,3,50240,11,0.30612314354239917,0.4829298733040711,1.4183359033386616,0.03832241364388583
18882,518475,2018-07-01 12:00:00,51200,3.0,0.4522657907494906,5,50911,16,0.13893545889050862,0.3602774906066876,0.7537763179158177,0.008870186084262781
18858,506530,2018-07-01 18:00:00,50909,2.0,-1.0,0,50909,18,0.0,0.0,0.0,0.0
18846,607289,2018-07-01 20:00:00,50911,3.0,-1.0,0,50911,20,0.0,0.0,0.0,0.0
18852,606909,2018-07-01 12:00:00,50268,3.0,0.46689311829267577,5,50692,19,0.21798308254709692,0.49313570202181445,0.7781551971544597,0.012361444772373399
18940,606102,2018-07-01 12:00:00,50841,3.0,0.43361294868420946,2,50911,12,0.2494968542759929,0.35404689421957836,1.4453764956140316,0.04342938871975759
18941,604733H,2018-07-01 13:00:00,51198,1.0,0.4641967240076207,4,51200,12,1.0,0.9975273768433653,0.9283934480152414,0.007023416205273908
18944,604895H,2018-07-01 13:00:00,50675,2.0,0.4827027282655358,10,50338,12,0.16512641223674196,0.7067042951642535,0.4388206620595779,0.0
18945,604804H,2018-07-01 12:00:00,50230,1.0,-1.0,0,50230,12,0.0,0.0,0.0,0.0
18948,604726H,2018-07-01 13:00:00,51199,2.0,0.48646494586214983,3,51199,12,0.7304346735008204,0.8515524047502611,1.2161623646553745,0.026731359964003838
18949,604903H,2018-07-01 13:00:00,50240,1.0,0.5345794227833673,4,50266,12,0.7493178078604509,0.8904140330798469,1.0691588455667347,0.04443197152881416
18959,607626,2018-07-01 17:00:00,50911,1.0,-1.0,0,50911,11,0.0,0.0,0.0,0.0
18855,518009,2018-07-01 13:00:00,50909,1.0,0.529666593902268,5,50692,19,0.41111009326832687,0.7090184725257995,0.88277765650378,0.015258600375845671
18955,607289,2018-07-01 13:00:00,50267,2.0,0.5241629682946828,3,50269,12,0.14266528588986852,0.2605085229054726,1.310407420736707,0.037458547738666026
18836,607688,2018-07-01 13:00:00,51087,3.0,0.543559121371175,5,51087,23,0.13053802005196807,0.34384409445003694,0.9059318689519584,0.026123540793096336
18838,606666,2018-07-01 13:00:00,50675,3.0,0.46052777342416956,10,50349,23,0.1829676178468818,0.7317717705625733,0.4186616122037905,0.0
18840,519392,2018-07-01 14:00:00,50692,2.0,0.41131764039299024,10,50911,21,0.15545329091055085,0.6915861679876567,0.3739251276299911,0.0
18845,604773H,2018-07-01 21:00:00,50841,1.0,-1.0,0,50841,21,0.0,0.0,0.0,0.0
18847,607289,2018-07-01 14:00:00,50230,1.0,0.4286243649068909,5,50911,20,0.12012164331999432,0.32272458114403907,0.7143739415114848,0.010206488926076814
18849,604900H,2018-07-01 14:00:00,50338,2.0,0.5136768175408571,4,50266,20,0.5678381795173829,0.7812620830562647,1.0273536350817143,0.043653588976619355
18851,607224,2018-07-01 14:00:00,50261,2.0,0.4851667417460014,4,50911,19,0.18787892197327585,0.38607248831872737,0.9703334834920028,0.037238879337235256
18957,604728H,2018-07-01 14:00:00,51198,1.0,0.5410699718894152,3,51198,11,0.6865875383657788,0.822621983656118,1.3526749297235379,0.015766387053812034
