requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,cp_value,threshold
11470,604799H,2018-07-04 11:00:00,51198,2.0,-1.0,0,51198,10,0.0,0.0,0.0,0.0
11469,604745H,2018-07-04 10:00:00,50349,2.0,0.5763443252451742,2,51199,10,0.9003507915232025,0.937093192598653,1.9211477508172474,0.03826447880270023
11468,601555,2018-07-04 13:00:00,51087,2.0,-1.0,0,51087,10,0.0,0.0,0.0,0.0
11465,603902,2018-07-04 10:00:00,50692,1.0,0.5620981861981139,10,50267,10,0.3028456951316277,0.8410707500523672,0.5109983510891944,0.008977928139210903
11500,600963,2018-07-04 10:00:00,50230,3.0,0.5355561691414622,5,51087,7,0.14018627890405747,0.36268169216190377,0.8925936152357704,0.09426690134143262
11456,606909,2018-07-04 10:00:00,50263,2.0,0.5993926747607362,6,50911,11,0.1383370450170663,0.41844231412832233,0.8562752496581947,0.02746012468900843
11462,603522H,2018-07-04 10:00:00,50269,2.0,0.617682482329461,3,50911,11,0.13779417315621265,0.2528002412413742,1.5442062058236523,0.06514771098855544
11432,518009,2018-07-04 13:00:00,50675,2.0,-1.0,0,50675,13,0.0,0.0,0.0,0.0
11433,607507,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,13,0.0,0.0,0.0,0.0
11439,607289,2018-07-04 10:00:00,50349,2.0,0.46441024981480816,1,50269,12,0.116552294799439,0.14486066826369173,2.3220512490740406,0.02774945187093448
11441,607289,2018-07-04 10:00:00,50841,2.0,0.4485681265227613,1,50269,12,0.14349538785779267,0.17703637112575413,2.2428406326138064,0.10881099340151125
11430,606909,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,13,0.0,0.0,0.0,0.0
11448,604804H,2018-07-04 12:00:00,50230,2.0,-1.0,0,50230,12,0.0,0.0,0.0,0.0
11449,604772H,2018-07-04 12:00:00,50675,1.0,0.4377248706298503,10,50269,12,0.23681553862677682,0.7908045330352395,0.3979317005725912,0.005056260991763058
11451,604726H,2018-07-04 13:00:00,51198,1.0,-1.0,0,51198,12,0.0,0.0,0.0,0.0
11452,607855,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,11,0.0,0.0,0.0,0.0
11454,604771H,2018-07-04 21:00:00,50240,2.0,-1.0,0,50240,11,0.0,0.0,0.0,0.0
11442,604745H,2018-07-04 12:00:00,51199,3.0,-1.0,0,51199,12,0.0,0.0,0.0,0.0
11157,518475,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,17,0.0,0.0,0.0,0.0
11159,604775H,2018-07-04 17:00:00,50263,1.0,-1.0,0,50263,17,0.0,0.0,0.0,0.0
11161,603680,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,17,0.0,0.0,0.0,0.0
11171,603522H,2018-07-04 12:00:00,50261,1.0,0.43818778969749045,2,50911,16,0.15006047870653305,0.22545995700840507,1.4606259656583016,-0.10237041885914641
11179,607688,2018-07-04 23:00:00,50911,1.0,-1.0,0,50911,16,0.0,0.0,0.0,0.0
11182,604899H,2018-07-04 15:00:00,50338,2.0,-1.0,0,50338,15,0.0,0.0,0.0,0.0
11184,603902,2018-07-04 12:00:00,50267,2.0,0.4931973142422046,4,50269,15,0.3325407542680584,0.5752451425941608,0.9863946284844092,0.035234169546269574
11188,604904H,2018-07-04 12:00:00,51200,2.0,0.5311953402962597,4,51198,15,0.3603521134256546,0.6049572478660561,1.0623906805925194,0.04250211451465469
11155,603522H,2018-07-04 00:00:00,50911,1.0,-1.0,0,50911,17,0.0,0.0,0.0,0.0
