,datetime,buildingID,consumption,generation
101,2018-07-05 05:00:00,0,140.37224,0.0
102,2018-07-05 06:00:00,0,188.86034,0.017101908
103,2018-07-05 07:00:00,0,197.3176,0.06269115
104,2018-07-05 08:00:00,0,197.05447,0.00860163
105,2018-07-05 09:00:00,0,206.62843,0.24671163
106,2018-07-05 10:00:00,0,207.12257,0.9221786
107,2018-07-05 11:00:00,0,214.5377,1.5805713
108,2018-07-05 12:00:00,0,206.62802,2.1348581
109,2018-07-05 13:00:00,0,208.20041,2.4474041
110,2018-07-05 14:00:00,0,206.11021,2.838222
111,2018-07-05 15:00:00,0,213.28412,2.8598714
112,2018-07-05 16:00:00,0,209.03825,2.7679522
113,2018-07-05 17:00:00,0,208.06,2.2829337
114,2018-07-05 18:00:00,0,208.88669,1.6464152
115,2018-07-05 19:00:00,0,206.89604,1.028773
116,2018-07-05 20:00:00,0,197.7948,0.41464716
117,2018-07-05 21:00:00,0,192.65627,0.043158665
118,2018-07-05 22:00:00,0,176.33005,0.0
119,2018-07-05 23:00:00,0,145.8016,0.0
120,2018-07-06 00:00:00,0,124.381676,0.0
121,2018-07-06 01:00:00,0,121.72226,0.012379473
122,2018-07-06 02:00:00,0,116.850555,0.0
123,2018-07-06 03:00:00,0,126.9819,0.012601164
124,2018-07-06 04:00:00,0,128.7116,0.009399296
125,2018-07-06 05:00:00,0,140.37224,0.0
126,2018-07-06 06:00:00,0,188.86034,0.015276829
127,2018-07-06 07:00:00,0,197.3176,0.06275665
128,2018-07-06 08:00:00,0,197.05447,0.0065728123
129,2018-07-06 09:00:00,0,206.62843,0.24321698
130,2018-07-06 10:00:00,0,207.12257,0.91521174
131,2018-07-06 11:00:00,0,214.5377,1.5763967
132,2018-07-06 12:00:00,0,206.62802,2.126915
133,2018-07-06 13:00:00,0,208.20041,2.4433439
134,2018-07-06 14:00:00,0,206.11021,2.8330026
135,2018-07-06 15:00:00,0,213.28412,2.851701
136,2018-07-06 16:00:00,0,209.03825,2.7688196
137,2018-07-06 17:00:00,0,208.06,2.285516
138,2018-07-06 18:00:00,0,208.88669,1.6486969
139,2018-07-06 19:00:00,0,206.89604,1.0286814
140,2018-07-06 20:00:00,0,197.7948,0.41671345
141,2018-07-06 21:00:00,0,192.65627,0.041343328
142,2018-07-06 22:00:00,0,176.33005,0.0
