requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour
10000,518009,2018-07-07 12:00:00,50338,3.0,0.6174389233842538,1,50911,18
10047,604733H,2018-07-07 09:00:00,51198,1.0,-1.0,1,51199,14
10042,604804H,2018-07-07 20:00:00,50268,2.0,0.4527638701413939,0,50230,15
10037,604749H,2018-07-07 18:00:00,50338,1.0,0.7204296190498688,4,51200,15
10027,605074H,2018-07-07 09:00:00,50911,1.0,-1.0,1,50911,16
10024,604771H,2018-07-07 19:00:00,50268,2.0,-1.0,1,50240,16
10019,606620,2018-07-07 00:00:00,50911,1.0,-1.0,1,50911,16
10017,604735H,2018-07-07 12:00:00,50267,1.0,0.8782051999391285,1,50268,16
9977,605432,2018-07-07 12:00:00,50841,1.0,0.609570355126499,1,50911,20
9987,606363,2018-07-07 11:00:00,50909,4.0,-1.0,1,50909,20
9980,601535,2018-07-07 12:00:00,51198,2.0,0.6562909084543389,1,50840,20
9979,603906,2018-07-07 07:00:00,50841,1.0,-1.0,1,50841,20
9978,604903H,2018-07-07 12:00:00,50261,2.0,0.7576664364009915,0,50266,20
9976,605432,2018-07-07 00:00:00,50911,3.0,-1.0,1,50911,21
9973,605235,2018-07-07 15:00:00,50911,1.0,-1.0,1,51087,21
9971,604900H,2018-07-07 20:00:00,50675,1.0,0.22235294117647061,0,50266,21
9969,605235,2018-07-07 15:00:00,50911,1.0,-1.0,1,50911,22
10048,604904H,2018-07-07 10:00:00,51199,3.0,-1.0,1,51198,14
9989,605079H,2018-07-07 11:00:00,50692,1.0,-1.0,1,50692,19
10049,604745H,2018-07-07 08:00:00,50349,2.0,-1.0,1,51199,14
10087,604804H,2018-07-07 15:00:00,50675,1.0,0.2333762387579244,0,50230,12
