requestID,userID,datetime,locationID,chargingLen,originLocationID,originHour,x_value
11420,607283,2018-07-04 11:00:00,50840,2.0,50909,13,-0.0017372129592612986
11421,604775H,2018-07-04 14:00:00,50263,1.0,50263,13,14.302606644484673
11426,520263,2018-07-04 13:00:00,50909,2.0,50909,13,-0.6523730937657221
11469,604745H,2018-07-04 10:00:00,51199,2.0,51199,10,1.5408033153671703
11454,604771H,2018-07-04 11:00:00,51199,2.0,50240,11,0.005853871413177906
11159,604775H,2018-07-04 17:00:00,50263,1.0,50263,17,-0.0012226725837647637
11184,603902,2018-07-04 17:00:00,50269,2.0,50269,15,0.024856653595279568
11176,604771H,2018-07-04 11:00:00,50263,2.0,50240,16,0.04371622360096964
11197,604804H,2018-07-04 15:00:00,50230,1.0,50230,15,0.025534900029141765
11278,604799H,2018-07-04 10:00:00,51198,3.0,51198,10,0.00011767207855757514
11274,604726H,2018-07-04 11:00:00,51200,2.0,51199,10,-0.014881622618419119
11267,603902,2018-07-04 11:00:00,50269,2.0,50269,11,0.035685303273209235
11225,604745H,2018-07-04 13:00:00,51200,2.0,51200,13,0.9339339846783957
11402,600963,2018-07-04 15:00:00,50841,3.0,50841,15,-7.8245325430714745
11497,603902,2018-07-04 07:00:00,50267,1.0,50267,7,0.028887819243490563
11475,520263,2018-07-04 11:00:00,51087,1.0,51087,10,-2.713673249775316
11470,604799H,2018-07-04 10:00:00,50267,2.0,51198,10,0.001251367195367168
11465,603902,2018-07-04 11:00:00,50338,1.0,50267,10,0.012105010696649553
11500,600963,2018-07-04 07:00:00,51087,3.0,51087,7,4.802876430754903
11449,604772H,2018-07-04 12:00:00,50269,1.0,50269,12,0.047841268555906966
11451,604726H,2018-07-04 12:00:00,51198,1.0,51198,12,-5.1609927086171075
11179,607688,2018-07-04 23:00:00,50911,1.0,50911,16,0.016231884057971033
11148,600963,2018-07-04 02:00:00,50911,2.0,50911,18,1.898039164427253
11288,603904,2018-07-04 02:00:00,50911,3.0,50911,8,0.027796733208752183
11499,600963,2018-07-04 07:00:00,51087,1.0,51087,7,0.39337242212549967
11193,607670,2018-07-04 02:00:00,50911,2.0,50911,15,-19.92425928358726
11498,604899H,2018-07-04 07:00:00,50338,2.0,50338,7,0.0006339277071899204
11182,604899H,2018-07-04 15:00:00,50338,2.0,50338,15,0.019490053036911644
11294,604895H,2018-07-04 08:00:00,50267,2.0,50267,8,0.03831959655407336
11153,604895H,2018-07-04 07:00:00,50349,1.0,50267,17,0.0038325148543696137
11303,606789,2018-07-04 06:00:00,50909,2.0,50909,6,-0.049365284861993104
11257,604895H,2018-07-04 12:00:00,50267,1.0,50267,12,0.04518995832368549
11432,518009,2018-07-04 13:00:00,50675,2.0,50675,13,-54.42215195662971
11379,607289,2018-07-04 18:00:00,50269,3.0,50269,16,0.01975003302553188
11504,607289,2018-07-04 02:00:00,50269,3.0,50269,2,0.03256850663744884
11308,605931,2018-07-04 01:00:00,50675,3.0,50349,5,0.010222771196519528
11319,607263,2018-07-04 23:00:00,50349,1.0,50349,23,0.015211891545936019
11439,607289,2018-07-04 12:00:00,50269,2.0,50269,12,0.013647347966879041
11441,607289,2018-07-04 01:00:00,51087,2.0,50269,12,0.03765789145532773
11311,607289,2018-07-04 03:00:00,50269,2.0,50269,3,0.04310971452290521
