requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,cp_value,threshold,user_accept
11381,604745H,2018-07-04 08:00:00,50840,2.0,0.807465377468826,7,51199,16,0.0,0.03732688734412946,1.0093317218360325,0.134577562911471,True
11386,604749H,2018-07-04 08:00:00,50841,3.0,0.8094851746355134,8,51198,15,0.0,0.04742587317756678,0.8994279718172371,0.10651120718888335,True
11389,604897H,2018-07-04 08:00:00,50268,1.0,0.8094851746355134,8,51200,15,0.0,0.04742587317756678,0.8994279718172371,0.14313457435122354,True
11390,604802H,2018-07-04 08:00:00,50261,3.0,0.8120173300348016,9,50269,15,0.0,0.060086650174007626,0.8120173300348016,0.09022414778164463,True
11399,604733H,2018-07-04 08:00:00,50267,1.0,0.7794945104118318,8,51198,15,0.5310663040341561,0.8932546388818785,0.866105011568702,0.06905475098452635,True
11418,604749H,2018-07-04 08:00:00,51200,2.0,0.7759786827171795,9,50268,14,0.27922861947527733,0.7861224426796714,0.7759786827171795,0.07340027369701496,True
11404,603912,2018-07-04 08:00:00,50230,2.0,0.7344286967385477,9,50349,14,0.1557889934682519,0.636475681412315,0.7344286967385477,0.0707655519140849,True
11405,604800H,2018-07-04 08:00:00,50349,2.0,0.6939795167479765,7,50911,14,0.12478250508329156,0.4506858024347258,0.8674743959349707,0.12752170516124428,True
11406,604771H,2018-07-04 08:00:00,50338,2.0,0.8035839762774246,10,50240,14,0.9995382581180898,0.9999620818470364,0.7305308875249314,0.06562793294758937,True
11379,607289,2018-07-04 08:00:00,51199,3.0,0.744153966521008,10,50269,16,0.13917397535428638,0.663254728735626,0.676503605928189,0.12177866104184698,True
11402,600963,2018-07-04 08:00:00,50841,3.0,0.6569392085665149,7,50841,15,0.0,0.03732688734412946,0.8211740107081436,0.14930436558329882,True
11371,518475,2018-07-04 08:00:00,50909,2.0,0.7601492453046742,10,50911,17,0.1460810646687896,0.6757537418367761,0.6910447684587947,0.1000196375400887,True
11324,519392,2018-07-04 09:00:00,50267,3.0,0.6319843461797702,10,50911,22,0.14804722751934343,0.6791787501168887,0.574531223799791,0.09780710119448822,True
11360,519392,2018-07-04 08:00:00,50240,2.0,0.6422098237493397,8,50911,17,0.044753661683234074,0.2571573700490684,0.7135664708325996,0.07135664708325996,True
11359,607613,2018-07-04 21:00:00,50692,2.0,-1.0,0,50692,18,0.0,0.0,0.0,0.0,False
11348,603522H,2018-07-04 21:00:00,50911,3.0,-1.0,0,50911,19,0.0,0.0,0.0,0.0,False
11340,604773H,2018-07-04 09:00:00,50269,2.0,0.7027760996962007,10,50841,20,0.3458590035174247,0.8656123066078278,0.6388873633601824,0.026516674962752656,True
11336,605642,2018-07-04 09:00:00,51198,3.0,0.6262362740943697,3,50911,21,0.1607851486299952,0.28855800614123994,1.565590685235924,0.024310815766571226,True
11335,603906,2018-07-04 09:00:00,51087,1.0,0.7335201495743733,8,50841,21,0.4183657327731495,0.8416443607088394,0.8150223884159703,0.05741376463619404,True
11333,604900H,2018-07-04 09:00:00,50268,1.0,0.7509095572980939,3,50266,21,0.6689535416903701,0.8105297291485928,1.8772738932452349,0.15291559342908712,True
11331,603522H,2018-07-04 08:00:00,50268,1.0,0.5447119079856982,2,50911,21,0.0,0.01098694263059318,1.8157063599523275,0.10992909993913899,True
11329,604903H,2018-07-04 09:00:00,50349,1.0,0.6025945723829536,9,50266,21,0.6441109323226073,0.9449688144479613,0.6025945723829536,0.057523376905393234,True
11420,607283,2018-07-04 10:00:00,50840,2.0,0.5332121511312826,2,50909,13,0.0,0.01098694263059318,1.7773738371042755,0.03145101047107043,True
11321,604735H,2018-07-04 10:00:00,50692,1.0,0.5506198811418198,5,50268,23,1.0,0.9980732653366725,0.917699801903033,0.012129578430899735,True
11319,607263,2018-07-04 10:00:00,50338,1.0,0.5895567190302797,10,50349,23,0.2131120758388006,0.7674079319505179,0.5359606536638907,0.02370210586885722,True
11365,604760H,2018-07-04 10:00:00,50263,1.0,0.6029334137964525,9,50240,17,0.14489776116107547,0.6165209607842022,0.6029334137964525,0.020600232943066628,True
11424,607855,2018-07-04 10:00:00,51200,2.0,0.6335955202976036,9,50911,13,0.14676518784358367,0.620059118522833,0.6335955202976036,0.04322764464145123,True
11421,604775H,2018-07-04 10:00:00,50230,1.0,0.6805628484072416,2,50263,13,0.674483131615299,0.7735616038033478,2.2685428280241386,0.038702258962083076,True
11429,604832H,2018-07-04 13:00:00,50267,1.0,-1.0,0,50267,13,0.0,0.0,0.0,0.0,False
11509,603522H,2018-07-04 00:00:00,50911,2.0,-1.0,0,50911,0,0.0,0.0,0.0,0.0,False
11504,607289,2018-07-04 09:00:00,50261,3.0,0.4037857411566509,6,50269,2,0.1206117435551245,0.3806830950443866,0.5768367730809298,0.013498113629793787,True
11426,520263,2018-07-04 08:00:00,50841,2.0,0.48106061220324714,1,50909,13,0.0,0.008577485413711984,2.4053030610162356,0.04782732575825999,True
11499,600963,2018-07-04 09:00:00,50841,1.0,0.3801499712737255,2,51087,7,0.055051726818723924,0.08763521668050239,1.2671665709124185,-0.00701885731963577,True
11498,604899H,2018-07-04 09:00:00,50268,2.0,0.5548296054653832,1,50338,7,0.6664225421842428,0.7195133239500769,2.7741480273269157,0.19046171762624867,True
11497,603902,2018-07-04 10:00:00,51200,1.0,0.373169829317315,1,50267,7,0.3116644041996924,0.3676411929718676,1.865849146586575,-0.023627190493995268,True
