requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness,marginal_value,trend,cost,cp_value
7255,517846,2018-07-02 12:00:00,50230,1.0,0.8535901617411882,10,50349,0,0.1030455929031205,0.16187451045783946,0.9456101883254796,0.6070294142168979,0.7615701351568968,2.1,0.40647150559104195
7062,607942,2018-07-02 12:00:00,50338,3.0,0.8637034821352196,10,50349,22,0.03948044526155204,0.28946039621893555,0.9734545764106248,1.0854764858210082,0.7539523878598144,2.1,0.4112873724453427
7172,604771H,2018-07-02 12:00:00,50675,2.0,0.8859963579117023,7,50240,12,0.2336810066998767,0.44243810868684735,0.948764456912085,1.6414453832282037,0.8232282589113197,1.5,0.5906642386078015
7181,604773H,2018-07-02 12:00:00,50841,1.0,0.8758991510564584,7,50841,12,0.266688028075375,1.0,0.9997113479844154,3.71,0.7520869541285015,1.5,0.5839327673709723
7182,604727H,2018-07-02 12:00:00,50261,3.0,0.8920367543707364,6,50261,12,0.39841036165866045,1.0,0.9995473777767595,3.71,0.7845261309647132,1.3,0.6861821187467203
7252,607856,2018-07-02 12:00:00,50269,3.0,0.840768230137817,10,50909,1,0.07156270528621882,0.10690666251171367,0.9150771393328054,0.40089998441892627,0.7664593209428285,2.1,0.4003658238751509
7185,604749H,2018-07-02 12:00:00,51198,1.0,0.8706018464299341,10,51198,12,0.03328471314412929,0.763916484480387,0.996578581790024,2.864686816801451,0.7446251110698443,2.1,0.41457230782377813
7193,604904H,2018-07-02 12:00:00,51199,1.0,0.8637584004616286,10,51199,12,0.16516790187405347,0.6291765569949014,0.9934951805667885,2.3594120887308803,0.7340216203564685,2.1,0.4113135240293469
7196,604760H,2018-07-02 12:00:00,50267,2.0,0.8489105101268909,10,50240,11,0.0637660696077508,0.15792530213010073,0.9440781318601835,0.5922198829878778,0.7537428883935983,2.1,0.40424310006042424
7198,603906,2018-07-02 12:00:00,50909,2.0,0.8631413754661938,10,50841,11,0.10338451392829658,0.36214590960287385,0.9808090247495734,1.358047161010777,0.7454737261828144,2.1,0.41101970260294945
7199,604726H,2018-07-02 12:00:00,51200,1.0,0.871844210980909,10,51199,11,0.19422886457123295,1.0,0.9999251537724895,3.75,0.7437632681893286,2.1,0.415163909990909
7201,604738H,2018-07-02 12:00:00,50268,1.0,0.8652576211070164,10,50268,11,0.1517993597458131,1.0,0.9999251537724895,3.75,0.7305900884415434,2.1,0.4120274386223888
7166,604796H,2018-07-02 12:00:00,50840,2.0,0.6887703343990728,10,50267,13,0.05235164844255888,0.0,0.3775406687981454,0.0,1.0,2.1,0.32798587352336794
7203,604758H,2018-07-02 12:00:00,50841,1.0,0.5596436873645295,0,50263,11,2.1365175102835625,0.6201551672697178,0.6201551672697179,0.0,0.7492522911976784,0.1,5.5964368736452945
7213,600108,2018-07-02 13:00:00,50240,1.0,0.4739061499414255,10,50269,10,0.004008176811088729,0.37816977810583496,0.9820609970411952,1.4181366678968812,0.7712859751193246,2.1,0.2256695952102026
7214,604749H,2018-07-02 12:00:00,51200,2.0,0.5294063370707862,1,51199,10,1.2550351827469437,0.7284017888588382,0.8079165707901534,0.9105022360735477,0.7417364158673796,0.3,1.7646877902359541
7221,603904,2018-07-02 13:00:00,51087,1.0,0.5215491790187159,10,50841,9,0.011832396696626295,0.5505703818520518,0.991013240211975,2.0646389319451943,0.7187135646997074,2.1,0.24835675191367423
7233,518622,2018-07-02 13:00:00,50266,1.0,0.588048782106487,10,50675,8,0.012505822401399342,0.6831490600226767,0.9948739549611232,2.5618089750850377,0.7540810229532905,2.1,0.28002322957451764
7238,518475,2018-07-02 13:00:00,51198,2.0,0.6164109714233633,10,50911,8,0.05153483142843284,0.1493089607881239,0.9404738826226299,0.5599086029554646,0.7372500585923032,2.1,0.2935290340111254
7239,604771H,2018-07-02 13:00:00,50230,1.0,0.7013867977940355,7,50240,8,0.15011060918035923,0.8047559412456867,0.9897105017842808,2.9856445420214976,0.7699617214017239,1.5,0.467591198529357
7241,604802H,2018-07-02 13:00:00,50268,1.0,0.6736129162562003,2,50269,7,0.8281927226220207,0.7550070708597861,0.8834482942039267,2.114019798407401,0.742930265030886,0.5,1.3472258325124007
7243,604895H,2018-07-02 13:00:00,50841,1.0,0.38050201671686257,0,50338,7,2.1365175102835625,0.12481165678610466,0.12481165678610466,0.0,0.7713873579325767,0.1,3.8050201671686255
7061,519392,2018-07-02 13:00:00,51199,1.0,0.37377204462789565,0,50911,23,1.9040763016704583,0.13617669467809845,0.13617669467809845,0.0,0.731427896246898,0.1,3.7377204462789564
7245,607795,2018-07-02 14:00:00,50266,1.0,0.35587382762482067,10,50911,6,0.021063268735930143,0.200163491612411,0.957496154407917,0.7506130935465413,0.7333752593862042,2.1,0.1694637274403908
7208,604799H,2018-07-02 12:00:00,50841,2.0,0.4956194501191491,0,51198,10,2.1365175102835625,0.7895055821134717,0.7895055821134717,0.0,0.7505161002636767,0.1,4.956194501191491
7164,604900H,2018-07-02 12:00:00,50268,2.0,0.5098442213080312,0,50266,13,2.1365175102835625,0.7470765200394037,0.7470765200394036,0.0,0.7287025997851211,0.1,5.098442213080312
7206,604734H,2018-07-02 14:00:00,50692,3.0,0.3997274096835248,10,50268,10,0.030752174200290326,0.28151461179512205,0.9724291719891357,1.0556797942317078,0.7222676801253478,2.1,0.19034638556358324
7161,604727H,2018-07-02 14:00:00,50267,1.0,0.4563139277812896,7,50261,13,0.07937616935392686,0.4304537216635549,0.9463433367262113,1.5969833073717887,0.7671620247382234,1.5,0.3042092851875264
