100%, 11, 4
100%, 12, 4
100%, 11, 4
100%, 10, 4
100%, 9, 4
100%, 8, 4
100%, 7, 4
100%, 6, 4
100%, 5, 4
100%, 4, 4
100%, 3, 4
100%, 2, 4
100%, 1, 4
100%, 0, 4
100%, 1, 4
100%, 2, 4
100%, 3, 4
100%, 4, 4
100%, 5, 4
100%, 6, 4
100%, 7, 4
100%, 8, 4
100%, 9, 4
100%, 10, 4
80%, 2, 3
80%, 3, 3
80%, 4, 3
80%, 5, 3
80%, 6, 3
80%, 7, 3
80%, 8, 3
80%, 9, 3
80%, 10, 3
80%, 11, 3
80%, 12, 3
80%, 11, 3
80%, 10, 3
80%, 9, 3
80%, 8, 3
80%, 7, 3
80%, 6, 3
80%, 5, 3
80%, 4, 3
80%, 3, 3
80%, 2, 3
80%, 1, 3
80%, 0, 3
80%, 1, 3
60%, 5, 3
60%, 6, 3
60%, 7, 3
60%, 8, 3
60%, 9, 3
60%, 10, 3
60%, 11, 3
60%, 12, 3
60%, 11, 3
60%, 10, 3
60%, 9, 3
60%, 8, 3
60%, 7, 3
60%, 6, 3
60%, 5, 3
60%, 4, 3
60%, 3, 3
60%, 2, 3
60%, 1, 3
60%, 0, 3
60%, 1, 3
60%, 2, 3
60%, 3, 3
60%, 4, 3
100%, 9, 1
100%, 10, 1
100%, 11, 1
100%, 12, 1
100%, 11, 1
100%, 10, 1
100%, 9, 1
100%, 8, 1
100%, 7, 1
100%, 6, 1
100%, 5, 1
100%, 4, 1
100%, 3, 1
100%, 2, 1
100%, 1, 1
100%, 0, 1
100%, 1, 1
100%, 2, 1
100%, 3, 1
100%, 4, 1
100%, 5, 1
100%, 6, 1
100%, 7, 1
100%, 8, 1
100%, 10, 2
100%, 11, 2
100%, 12, 2
100%, 11, 2
100%, 10, 2
100%, 9, 2
100%, 8, 2
100%, 7, 2
100%, 6, 2
100%, 5, 2
100%, 4, 2
100%, 3, 2
100%, 2, 2
100%, 1, 2
100%, 0, 2
100%, 1, 2
100%, 2, 2
100%, 3, 2
100%, 4, 2
100%, 5, 2
100%, 6, 2
100%, 7, 2
100%, 8, 2
100%, 9, 2
100%, 9, 1
100%, 8, 1
100%, 7, 1
100%, 6, 1
100%, 5, 1
100%, 4, 1
100%, 3, 1
100%, 2, 1
100%, 1, 1
100%, 0, 1
100%, 1, 1
100%, 2, 1
100%, 3, 1
100%, 4, 1
100%, 5, 1
