datetime,date,userID,locationID,buildingID,chargingLen,originLocationID,originChargingHour,incentive,score
2018-07-01 10:00:00,0701,606620,50261,9,1.0,50911,9,0,0.6206640950142055
2018-07-01 04:00:00,0701,605432,50911,13,2.0,50911,4,0,-1.0
2018-07-01 10:00:00,0701,607289,50268,19,3.0,50269,4,0,0.5951776883691915
2018-07-01 10:00:00,0701,603912,50841,2,2.0,51087,19,0,0.4452829200391502
2018-07-01 15:00:00,0701,604380H,50692,3,2.0,50911,19,3,0.2286227041306334
2018-07-01 21:00:00,0701,603912,50911,13,3.0,50911,17,0,-1.0
2018-07-01 14:00:00,0701,606620,50841,2,1.0,50911,17,0,0.5399923046608888
2018-07-01 17:00:00,0701,520263,50909,8,1.0,50909,17,0,-1.0
2018-07-01 00:00:00,0701,517866,51087,4,2.0,51087,14,0,-1.0
2018-07-01 02:00:00,0701,607855,50692,3,1.0,50911,13,10,0.0130123075103843
2018-07-01 15:00:00,0701,604832H,50267,14,2.0,50267,12,0,-1.0
2018-07-01 17:00:00,0701,604903H,50266,10,1.0,50266,12,0,-1.0
2018-07-01 17:00:00,0701,607696,50263,11,3.0,50263,11,0,-1.0
2018-07-01 10:00:00,0701,604738H,50268,19,3.0,50268,0,0,0.4941153358936824
2018-07-01 21:00:00,0701,606260,50911,13,3.0,50911,10,0,-1.0
2018-07-01 02:00:00,0701,519392,51087,4,2.0,51087,21,0,-1.0
2018-07-01 12:00:00,0701,519392,50841,2,2.0,51087,21,0,0.4373268078188307
2018-07-01 16:00:00,0701,603906,50840,6,1.0,50841,21,10,0.3738458675964593
2018-07-01 14:00:00,0701,604903H,50230,0,1.0,50266,21,0,0.4998484902003925
2018-07-01 21:00:00,0701,605931,50911,13,2.0,50911,21,0,-1.0
2018-07-01 22:00:00,0701,604380H,50911,13,2.0,50911,22,0,-1.0
2018-07-01 00:00:00,0701,604732H,50268,19,3.0,50268,23,0,-1.0
2018-07-01 00:00:00,0701,604738H,50268,19,3.0,50268,23,0,-1.0
2018-07-01 20:00:00,0701,607795,50909,8,1.0,50909,20,0,-1.0
2018-07-01 16:00:00,0701,519392,50338,16,2.0,51087,19,0,0.3310938865526313
2018-07-02 12:00:00,0702,517846,50840,6,1.0,50349,0,10,0.8151716360042488
2018-07-02 00:00:00,0702,607942,50349,7,3.0,50349,22,0,-1.0
2018-07-02 12:00:00,0702,604771H,50268,19,2.0,50240,12,7,0.7773820582244466
2018-07-02 12:00:00,0702,604773H,50675,18,1.0,50841,12,10,0.8254628442899612
2018-07-02 12:00:00,0702,604727H,50261,9,3.0,50261,12,0,-1.0
2018-07-02 12:00:00,0702,607856,50269,12,3.0,50909,1,10,0.7318101159233346
2018-07-02 12:00:00,0702,604749H,51198,5,1.0,51198,12,10,0.7907520411440527
2018-07-02 12:00:00,0702,604904H,51199,1,1.0,51199,12,10,0.7779879688211219
2018-07-02 10:00:00,0702,604760H,50338,16,2.0,50240,11,9,0.3699763982801004
2018-07-02 12:00:00,0702,603906,50841,2,2.0,50841,11,10,0.8015590075754164
2018-07-02 12:00:00,0702,604726H,51200,15,1.0,51199,11,10,0.7949000588240782
2018-07-02 12:00:00,0702,604738H,50338,16,1.0,50268,11,9,0.770738475766186
2018-07-02 12:00:00,0702,604796H,50267,14,2.0,50267,13,9,0.8078796882641326
2018-07-02 11:00:00,0702,604758H,50263,11,1.0,50263,11,0,-1.0
