requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,trend,cp_value,threshold
18866,606941,2018-07-01 12:00:00,50840,3.0,0.8151716360042488,10,51087,17,0.0,0.07585818002124355,1.0,0.7410651236402261,0.0
18879,604897H,2018-07-01 12:00:00,50675,1.0,0.8269617363515158,10,51200,16,0.31051565771399414,0.8458336297234305,0.8222437630085372,0.7517833966831962,0.0
18863,604760H,2018-07-01 08:00:00,50268,1.0,0.5434477573361658,10,50240,17,0.0,0.07585818002124355,1.0,0.4940434157601507,0.01855266853743112
18873,V009198,2018-07-01 12:00:00,50261,2.0,0.7614676779412604,10,50911,17,0.15719278963254504,0.694392290037522,0.7782365249171949,0.6922433435829639,0.058574436764712336
18876,604725H,2018-07-01 12:00:00,50230,2.0,0.8051048508707189,10,50261,16,0.685011057690631,0.9636276973906998,0.7654741392407236,0.7319135007915626,0.019086305199404678
18878,604738H,2018-07-01 12:00:00,50268,2.0,0.78436151502585,10,50268,16,1.0,0.9994472213630764,0.7305900884415434,0.7130559227507727,0.02740390607142449
18881,604836H,2018-07-01 12:00:00,50269,2.0,0.8171706226820306,10,50269,16,0.942958620186343,0.9950590547828799,0.7726985146568183,0.7428823842563913,0.09015731584044773
18891,604749H,2018-07-01 13:00:00,50338,1.0,0.55243719372361,10,51200,15,0.33153503677328783,0.8579966457778971,0.7537671155982659,0.5022156306578273,0.047839303768147386
18884,604771H,2018-07-01 12:00:00,50267,2.0,0.7977035059477657,10,50240,16,0.6557382339485698,0.9586858886474656,0.7574579102728406,0.7251850054070597,0.05070861086149092
18885,604739H,2018-07-01 15:00:00,51199,1.0,-1.0,0,51199,15,0.0,0.0,0.0,0.0,0.0
18889,605077H,2018-07-01 12:00:00,51198,2.0,0.7403215224121625,10,51087,15,0.1895826832857693,0.7402514603544084,0.740339037926601,0.6730195658292386,0.009939546960736775
18861,605454,2018-07-01 12:00:00,50841,2.0,0.7556607684806238,10,50692,18,0.23887324724740303,0.7926762274638174,0.7464069037348253,0.6869643349823852,0.034151529296898554
18895,604976,2018-07-01 12:00:00,50338,1.0,0.6600776543450738,3,50911,15,0.16069604692241266,0.28842243220541036,0.7529914598799897,1.6501941358626844,0.1453210056930017
18897,604728H,2018-07-01 12:00:00,51199,1.0,0.789320611859313,10,51198,15,1.0,0.9994472213630764,0.7367889594833721,0.7175641925993754,0.03582437480974216
18958,604771H,2018-07-01 13:00:00,51087,2.0,0.5476218987189895,10,50240,11,0.5133053949559888,0.9277904873404168,0.7184354677825724,0.49783808974453586,0.03761387443334335
18882,518475,2018-07-01 12:00:00,51200,3.0,0.7224318518427595,10,50911,16,0.13893545889050862,0.66280960559408,0.7373374134049293,0.6567562289479631,0.01120044468527908
18858,506530,2018-07-01 13:00:00,50675,2.0,0.6021640802684982,10,50909,18,0.2063139114207303,0.7600057112970992,0.7587865137752495,0.5474218911531802,0.0
18846,607289,2018-07-01 12:00:00,50909,3.0,0.726630136575542,10,50911,20,0.13638695689196287,0.6579948513617033,0.7437889578790016,0.6605728514323108,0.011503719131878627
18852,606909,2018-07-01 12:00:00,50841,3.0,0.5381806584496637,3,50692,19,0.17407682434327523,0.3085290703403837,0.7459233483400183,1.345451646124159,0.11709366988561153
18940,606102,2018-07-01 12:00:00,50268,3.0,0.41304443132326146,0,50911,12,0.12632928054182554,0.12632928054182554,0.7240701576993183,4.130444313232615,0.7342902834731073
18941,604733H,2018-07-01 15:00:00,50909,1.0,0.18279092550166562,0,51200,12,0.2497383002599131,0.2497383002599131,0.7517829403144647,1.827909255016656,0.020052790346580498
18944,604895H,2018-07-01 12:00:00,51200,2.0,0.4931503158736883,10,50338,12,0.1244906448256381,0.634002114589378,0.7372296162850424,0.44831846897608024,0.018750945258876585
18945,604804H,2018-07-01 17:00:00,50675,1.0,0.05005439870201528,10,50230,12,0.0,0.07585818002124355,1.0,0.04550399882001389,0.0
18948,604726H,2018-07-01 13:00:00,51199,2.0,-1.0,0,51199,12,0.0,0.0,0.0,0.0,0.0
18949,604903H,2018-07-01 13:00:00,50240,1.0,0.7071641047810622,10,50266,12,0.7493178078604509,0.9732726593627298,0.7740557365354038,0.6428764588918746,0.06935038378148238
18959,607626,2018-07-01 13:00:00,50675,1.0,0.45070260139725693,10,50911,11,0.1032141426918025,0.5837018918981973,0.7580171125160784,0.4097296376338699,0.0
18855,518009,2018-07-01 14:00:00,50230,1.0,0.43403369560880617,10,50692,19,0.13203979339382219,0.6495262575658189,0.7644386397682087,0.3945760869170965,0.013226025078366791
18955,607289,2018-07-01 14:00:00,51198,2.0,0.4439898575286566,10,50269,12,0.11860966909068792,0.6211276858976713,0.7455517951534922,0.40362714320786963,0.01258962542523992
18836,607688,2018-07-01 14:00:00,50692,3.0,0.4804058857067743,10,51087,23,0.13782550789942036,0.6607259063881398,0.7211953733798574,0.4367326233697948,0.0
18838,606666,2018-07-01 20:00:00,50911,3.0,0.1553049245082131,10,50349,23,0.1801114871908966,0.7279819167061058,0.6083956544813437,0.14118629500746643,0.0
18840,519392,2018-07-01 14:00:00,50267,2.0,0.4930680911374353,3,50911,21,0.1527203068715944,0.27619344340172464,0.7650893873144028,1.2326702278435882,0.10781607727599912
18845,604773H,2018-07-01 21:00:00,50841,1.0,-1.0,0,50841,21,0.0,0.0,0.0,0.0,0.0
18847,607289,2018-07-01 14:00:00,50261,1.0,0.5274717358258174,3,50911,20,0.09646974507753375,0.1843603840699964,0.7777833678682768,1.3186793395645435,0.1264672474812792
