requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,threshold,personal,willingness,trend,cost,cp_value
11571,V009198,2018-07-03 00:00:00,51087,2.0,-1,0,51087,16,0,0,0,0,0,0
11569,604899H,2018-07-03 16:00:00,50338,1.0,-1,0,50338,16,0,0,0,0,0,0
11556,518475,2018-07-03 05:00:00,50911,2.0,-1,0,50911,17,0,0,0,0,0,0
11528,519392,2018-07-03 02:00:00,51087,2.0,-1,0,51087,20,0,0,0,0,0,0
11531,607224,2018-07-03 05:00:00,50911,1.0,-1,0,50911,19,0,0,0,0,0,0
11521,604773H,2018-07-03 21:00:00,50841,1.0,-1,0,50841,21,0,0,0,0,0,0
11518,604900H,2018-07-03 21:00:00,50266,2.0,-1,0,50266,21,0,0,0,0,0,0
11555,604760H,2018-07-03 21:00:00,50240,1.0,-1,0,50240,17,0,0,0,0,0,0
11600,600963,2018-07-03 02:00:00,51087,2.0,-1,0,51087,14,0,0,0,0,0,0
11618,607289,2018-07-03 18:00:00,50269,3.0,-1,0,50269,13,0,0,0,0,0,0
11608,604738H,2018-07-03 13:00:00,50268,2.0,-1,0,50268,13,0,0,0,0,0,0
11606,604726H,2018-07-03 14:00:00,51198,2.0,-1,0,51198,14,0,0,0,0,0,0
11702,607289,2018-07-03 01:00:00,50349,2.0,-1,0,50349,1,0,0,0,0,0,0
11700,607263,2018-07-03 01:00:00,50349,3.0,-1,0,50349,1,0,0,0,0,0,0
11699,607289,2018-07-03 01:00:00,50269,3.0,-1,0,50269,1,0,0,0,0,0,0
11697,607263,2018-07-03 02:00:00,50349,1.0,-1,0,50349,2,0,0,0,0,0,0
11677,604804H,2018-07-03 09:00:00,50230,1.0,-1,0,50230,9,0,0,0,0,0,0
11657,601535,2018-07-03 17:00:00,50692,1.0,-1,0,50692,10,0,0,0,0,0,0
11653,604728H,2018-07-03 10:00:00,51199,1.0,-1,0,51199,10,0,0,0,0,0,0
11689,603902,2018-07-03 07:00:00,50338,1.0,-1,0,50338,7,0,0,0,0,0,0
11640,604772H,2018-07-03 11:00:00,51200,2.0,-1,0,51200,11,0,0,0,0,0,0
11634,604775H,2018-07-03 17:00:00,50263,3.0,-1,0,50263,12,0,0,0,0,0,0
11633,604902H,2018-07-03 12:00:00,50261,1.0,-1,0,50261,12,0,0,0,0,0,0
11626,604804H,2018-07-03 12:00:00,50230,2.0,-1,0,50230,12,0,0,0,0,0,0
11623,607626,2018-07-03 05:00:00,50911,1.0,-1,0,50911,12,0,0,0,0,0,0
11621,604761H,2018-07-03 13:00:00,50349,1.0,-1,0,50349,13,0,0,0,0,0,0
11619,604832H,2018-07-03 15:00:00,50267,1.0,-1,0,50267,13,0,0,0,0,0,0
11616,604739H,2018-07-03 13:00:00,51199,2.0,-1,0,51199,13,0,0,0,0,0,0
11614,606789,2018-07-03 13:00:00,50269,2.0,-1,0,50269,13,0,0,0,0,0,0
