faviorate_ratio,MovingTime,MovingDistance,satisfaction_score
0.32380000000000003,1.272,3.4653,0.24222029200917894
0.3044,1.8845,3.7139,0.252968071232682
0.2818,1.5781,3.7771,0.243113782032748
0.2789,1.6237,3.7394,0.24154358906260223
