requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness
11053,604745H,2018-07-05 08:00:00,50909,1.0,0.8909266414100019,10,51198,11,0.22777788719672554,1.0
11051,604771H,2018-07-05 08:00:00,51200,1.0,0.8877762700853176,10,50240,11,0.5640512744259026,1.0
11048,604904H,2018-07-05 08:00:00,51199,2.0,0.8771727301374663,10,51198,12,0.2083062302170144,0.9894545935308183
11036,604897H,2018-07-05 08:00:00,50230,2.0,0.8801337506349504,10,51200,12,0.33811333794056636,1.0
11046,604749H,2018-07-05 08:00:00,50349,2.0,0.8779916568976955,10,51199,12,0.28413224841208484,1.0
11041,603906,2018-07-05 08:00:00,50267,1.0,0.8746321281647255,10,50841,12,0.2893863387768276,1.0
11039,604775H,2018-07-05 08:00:00,50338,1.0,0.8756647174626574,10,50263,12,0.5729362385576611,1.0
11054,604902H,2018-07-05 08:00:00,50240,2.0,0.8718247693488278,10,50261,11,0.7435948673217272,1.0
11035,604832H,2018-07-05 08:00:00,50911,1.0,0.8041181511102201,10,50267,12,0.4271116706420893,1.0
11047,605642,2018-07-05 09:00:00,50840,2.0,0.5397391442125677,10,50911,12,0.2157844340203733,1.0
11057,516399,2018-07-05 09:00:00,51087,1.0,0.5871057833311601,10,50909,11,0.6713036122261898,1.0
11076,604752H,2018-07-05 09:00:00,50261,2.0,0.6815735154239619,10,51199,10,0.3053775172090594,1.0
11061,604726H,2018-07-05 09:00:00,50841,1.0,0.7081171833839488,6,51200,11,0.2206648237373373,1.0
11072,606941,2018-07-05 09:00:00,50268,2.0,0.6618119256693208,9,50911,10,0.19273188586601328,0.913549139004903
11074,604733H,2018-07-05 09:00:00,50338,2.0,0.7253578265691543,7,51200,10,0.35309992751992647,1.0
11077,604733H,2018-07-05 09:00:00,50269,2.0,0.7959383416660597,10,51200,10,0.49546929460414635,1.0
11080,604799H,2018-07-05 09:00:00,50267,2.0,0.8660683563561739,7,51199,10,0.47695408497064207,1.0
11081,601555,2018-07-05 09:00:00,51198,2.0,0.7085458768609191,10,50911,9,0.14296195176591925,0.6790692708881165
11082,604749H,2018-07-05 10:00:00,50266,2.0,0.7168484832345033,10,51198,9,0.40447750459953563,1.0
11084,601085,2018-07-05 10:00:00,50263,2.0,0.7245957422486139,10,50349,9,0.19865011186623674,0.9435880313646244
11086,604750H,2018-07-05 10:00:00,50230,3.0,0.8062905356251965,7,50230,9,1.0,1.0
11033,604761H,2018-07-05 09:00:00,50911,1.0,0.8046438242891393,10,50349,13,1.0,1.0
11087,604802H,2018-07-05 09:00:00,50909,1.0,0.8731075632311414,10,50269,9,0.7711967083413374,1.0
11060,603522H,2018-07-05 10:00:00,51199,2.0,0.6537604268659194,4,50911,11,0.16846229072693114,0.7749265373438832
11025,607507,2018-07-05 10:00:00,50692,2.0,0.6302702776771899,10,50911,13,0.13041048857944693,0.6194498207523729
10970,607856,2018-07-05 10:00:00,50841,2.0,0.44022649530084307,0,50911,16,0.12294794650253858,0.12294794650253858
11013,604802H,2018-07-05 10:00:00,51200,1.0,0.7433669579605786,0,50269,14,0.7419333554892924,0.7419333554892924
11090,604804H,2018-07-05 09:00:00,51200,2.0,0.7410352318455186,0,50230,9,0.7785983704347779,0.7785983704347779
11104,604899H,2018-07-05 09:00:00,50841,2.0,0.58669657899317,0,50338,7,0.6128404485467681,0.6128404485467681
10912,605432,2018-07-05 08:00:00,50268,3.0,0.37474747474747483,0,50911,22,0.0,0.0
10924,604800H,2018-07-05 18:00:00,50675,3.0,0.3756692295557166,10,50911,21,0.2127916165700431,1.0
10930,607263,2018-07-05 08:00:00,50261,3.0,0.37412935323383084,0,50911,20,0.0,0.0
10933,601897,2018-07-05 08:00:00,50841,2.0,0.37658536585365854,0,50349,20,0.0,0.0
10936,600963,2018-07-05 18:00:00,50269,2.0,0.3586229084277805,10,50911,20,0.2277134583975078,1.0
10940,607263,2018-07-05 18:00:00,50263,2.0,0.37842976936167705,10,50911,19,0.1981215635354105,0.9410774267931998
10944,601535,2018-07-05 08:00:00,50349,2.0,0.4141908262140947,2,50692,18,0.2160011887931044,0.8208045174137967
10949,604732H,2018-07-05 08:00:00,50840,1.0,0.382333978078659,7,50268,18,0.0,0.0
10958,607795,2018-07-05 08:00:00,50841,3.0,0.33236621534493876,0,50349,17,0.0,0.0
11023,604748H,2018-07-05 18:00:00,50909,2.0,0.3897282564770386,2,51087,13,0.24413556398618966,0.9277151431475207
10966,604902H,2018-07-05 09:00:00,51200,3.0,0.4198808785136279,0,50261,16,0.6241082865509876,0.6241082865509876
10968,603902,2018-07-05 18:00:00,50911,3.0,0.40776972189922567,10,50269,16,0.3125441124926997,1.0
