requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,x_value
11381,604745H,2018-07-04 16:00:00,51199,2.0,-1.0,0,51199,16,0.47383216364023345
11386,604749H,2018-07-04 15:00:00,51198,3.0,-1.0,0,51198,15,0.1977539375215029
11389,604897H,2018-07-04 18:00:00,50268,1.0,0.30183566147068186,2,51200,15,0.48190728888336404
11390,604802H,2018-07-04 15:00:00,50269,3.0,-1.0,0,50269,15,-0.2226823036559723
11399,604733H,2018-07-04 15:00:00,51198,1.0,-1.0,0,51198,15,0.12370126271823578
11418,604749H,2018-07-04 14:00:00,50268,2.0,-1.0,0,50268,14,0.04814205445728955
11404,603912,2018-07-04 14:00:00,50349,2.0,-1.0,0,50349,14,-0.0758119474822129
11405,604800H,2018-07-04 12:00:00,50268,2.0,0.2424942337823583,5,50911,14,0.011970723169356032
11406,604771H,2018-07-04 19:00:00,50240,2.0,-1.0,0,50240,14,0.00023609661154472131
11379,607289,2018-07-04 15:00:00,50338,3.0,0.22377136151398622,5,50269,16,0.17882171249037457
11402,600963,2018-07-04 15:00:00,50841,3.0,-1.0,0,50841,15,0.35042766184203583
11371,518475,2018-07-04 21:00:00,50911,2.0,-1.0,0,50911,17,-0.9416501562124427
11324,519392,2018-07-04 00:00:00,50911,3.0,-1.0,0,50911,22,-0.37211936120946265
11360,519392,2018-07-04 08:00:00,50338,2.0,0.27535557948054806,9,50911,17,-0.37211936120946265
11359,607613,2018-07-04 21:00:00,50692,2.0,-1.0,0,50692,18,-5.004850532351672
11348,603522H,2018-07-04 08:00:00,50267,3.0,0.2730195780810613,8,50911,19,-0.39161531922901227
11340,604773H,2018-07-04 09:00:00,50261,2.0,0.2883354040908663,8,50841,20,-0.3183290270626487
11336,605642,2018-07-04 01:00:00,51087,3.0,0.0035714285714285713,8,50911,21,-0.00024120796614637033
11335,603906,2018-07-04 21:00:00,50841,1.0,-1.0,0,50841,21,-0.0003579809677503971
11333,604900H,2018-07-04 18:00:00,50267,1.0,0.31711247568011897,6,50266,21,0.25109018751873713
11331,603522H,2018-07-04 15:00:00,50675,1.0,0.1938577936138255,6,50911,21,-0.21564672263713405
11329,604903H,2018-07-04 16:00:00,50675,1.0,0.3114313565946251,6,50266,21,-0.00017608399749137924
11420,607283,2018-07-04 17:00:00,50261,2.0,0.10857142857142858,6,50909,13,0.04283684634071462
