requestID,userID,datetime,locationID,chargingLen,score,incentive,originLocationID,originHour,personal,willingness,trend,cp_value,threshold
12066,604380H,2018-07-02 19:00:00,50911,2.0,-1,0,50911,19,0,0,0,0,0
12063,519392,2018-07-02 19:00:00,50349,2.0,-1,0,50349,19,0,0,0,0,0
12062,603912,2018-07-02 20:00:00,50692,3.0,-1,0,50692,20,0,0,0,0,0
12060,605083H,2018-07-02 20:00:00,50911,2.0,-1,0,50911,20,0,0,0,0,0
12049,604732H,2018-07-02 20:00:00,50269,2.0,-1,0,50269,20,0,0,0,0,0
12048,603906,2018-07-02 21:00:00,50841,2.0,-1,0,50841,21,0,0,0,0,0
12047,604832H,2018-07-02 21:00:00,50267,1.0,-1,0,50267,21,0,0,0,0,0
12040,607263,2018-07-02 21:00:00,50911,2.0,-1,0,50911,21,0,0,0,0,0
12039,604903H,2018-07-02 21:00:00,50266,1.0,-1,0,50266,21,0,0,0,0,0
12026,604735H,2018-07-02 23:00:00,50268,3.0,-1,0,50268,23,0,0,0,0,0
12141,604802H,2018-07-02 13:00:00,50269,2.0,-1,0,50269,13,0,0,0,0,0
12072,601555,2018-07-02 18:00:00,51087,3.0,-1,0,51087,18,0,0,0,0,0
12144,607083,2018-07-02 13:00:00,50911,3.0,-1,0,50911,13,0,0,0,0,0
12073,601555,2018-07-02 18:00:00,51087,2.0,-1,0,51087,18,0,0,0,0,0
12146,603902,2018-07-02 13:00:00,50338,2.0,-1,0,50338,13,0,0,0,0,0
12232,605931,2018-07-02 05:00:00,50911,3.0,-1,0,50911,5,0,0,0,0,0
12145,604832H,2018-07-02 13:00:00,50267,1.0,-1,0,50267,13,0,0,0,0,0
12226,604899H,2018-07-02 07:00:00,50338,2.0,-1,0,50338,7,0,0,0,0,0
12215,604748H,2018-07-02 08:00:00,51087,2.0,-1,0,51087,8,0,0,0,0,0
12205,606850,2018-07-02 09:00:00,50349,4.0,-1,0,50349,9,0,0,0,0,0
12199,607855,2018-07-02 09:00:00,50911,1.0,-1,0,50911,9,0,0,0,0,0
12196,604895H,2018-07-02 09:00:00,51198,2.0,-1,0,51198,9,0,0,0,0,0
12194,604748H,2018-07-02 10:00:00,51087,3.0,-1,0,51087,10,0,0,0,0,0
12190,604730H,2018-07-02 10:00:00,50263,2.0,-1,0,50263,10,0,0,0,0,0
12189,604745H,2018-07-02 10:00:00,50263,2.0,-1,0,50263,10,0,0,0,0,0
12187,607688,2018-07-02 10:00:00,50911,1.0,-1,0,50911,10,0,0,0,0,0
12186,600108,2018-07-02 10:00:00,50269,2.0,-1,0,50269,10,0,0,0,0,0
12185,606523,2018-07-02 10:00:00,50909,1.0,-1,0,50909,10,0,0,0,0,0
12184,606789,2018-07-02 11:00:00,50263,3.0,-1,0,50263,11,0,0,0,0,0
12193,607626,2018-07-02 10:00:00,50911,1.0,-1,0,50911,10,0,0,0,0,0
12179,604727H,2018-07-02 11:00:00,50261,2.0,-1,0,50261,11,0,0,0,0,0
12147,604895H,2018-07-02 13:00:00,51198,1.0,-1,0,51198,13,0,0,0,0,0
12234,607289,2018-07-02 03:00:00,50269,3.0,-1,0,50269,3,0,0,0,0,0
12155,604773H,2018-07-02 12:00:00,50841,1.0,-1,0,50841,12,0,0,0,0,0
12160,604804H,2018-07-02 12:00:00,50230,2.0,-1,0,50230,12,0,0,0,0,0
12149,604903H,2018-07-02 12:00:00,50266,1.0,-1,0,50266,12,0,0,0,0,0
12167,604726H,2018-07-02 11:00:00,51200,1.0,-1,0,51200,11,0,0,0,0,0
12161,605642,2018-07-02 12:00:00,51087,2.0,-1,0,51087,12,0,0,0,0,0
12169,604749H,2018-07-02 11:00:00,51200,2.0,-1,0,51200,11,0,0,0,0,0
12172,604904H,2018-07-02 11:00:00,51199,2.0,-1,0,51199,11,0,0,0,0,0
12173,604895H,2018-07-02 11:00:00,51198,2.0,-1,0,51198,11,0,0,0,0,0
12174,604745H,2018-07-02 11:00:00,51198,3.0,-1,0,51198,11,0,0,0,0,0
12177,604738H,2018-07-02 11:00:00,50268,1.0,-1,0,50268,11,0,0,0,0,0
12168,520263,2018-07-02 11:00:00,50909,2.0,-1,0,50909,11,0,0,0,0,0
